Date,Close
8/6/13,"$1,697.37 "
8/7/13,"$1,690.91 "
8/8/13,"$1,697.48 "
8/9/13,"$1,691.42 "
8/12/13,"$1,689.47 "
8/13/13,"$1,694.16 "
8/14/13,"$1,685.39 "
8/15/13,"$1,661.32 "
8/16/13,"$1,655.83 "
8/19/13,"$1,646.06 "
8/20/13,"$1,652.35 "
8/21/13,"$1,642.80 "
8/22/13,"$1,656.96 "
8/23/13,"$1,663.50 "
8/26/13,"$1,656.78 "
8/27/13,"$1,630.48 "
8/28/13,"$1,634.96 "
8/29/13,"$1,638.17 "
8/30/13,"$1,632.97 "
9/3/13,"$1,639.77 "
9/4/13,"$1,653.08 "
9/5/13,"$1,655.08 "
9/6/13,"$1,655.17 "
9/9/13,"$1,671.71 "
9/10/13,"$1,683.99 "
9/11/13,"$1,689.13 "
9/12/13,"$1,683.42 "
9/13/13,"$1,687.99 "
9/16/13,"$1,697.60 "
9/17/13,"$1,704.76 "
9/18/13,"$1,725.52 "
9/19/13,"$1,722.34 "
9/20/13,"$1,709.91 "
9/23/13,"$1,701.84 "
9/24/13,"$1,697.42 "
9/25/13,"$1,692.77 "
9/26/13,"$1,698.67 "
9/27/13,"$1,691.75 "
9/30/13,"$1,681.55 "
10/1/13,"$1,695.00 "
10/2/13,"$1,693.87 "
10/3/13,"$1,678.66 "
10/4/13,"$1,690.50 "
10/7/13,"$1,676.12 "
10/8/13,"$1,655.45 "
10/9/13,"$1,656.40 "
10/10/13,"$1,692.56 "
10/11/13,"$1,703.20 "
10/14/13,"$1,710.14 "
10/15/13,"$1,698.06 "
10/16/13,"$1,721.54 "
10/17/13,"$1,733.15 "
10/18/13,"$1,744.50 "
10/21/13,"$1,744.66 "
10/22/13,"$1,754.67 "
10/23/13,"$1,746.38 "
10/24/13,"$1,752.07 "
10/25/13,"$1,759.77 "
10/28/13,"$1,762.11 "
10/29/13,"$1,771.95 "
10/30/13,"$1,763.31 "
10/31/13,"$1,756.54 "
11/1/13,"$1,761.64 "
11/4/13,"$1,767.93 "
11/5/13,"$1,762.97 "
11/6/13,"$1,770.49 "
11/7/13,"$1,747.15 "
11/8/13,"$1,770.61 "
11/11/13,"$1,771.89 "
11/12/13,"$1,767.69 "
11/13/13,"$1,782.00 "
11/14/13,"$1,790.62 "
11/15/13,"$1,798.18 "
11/18/13,"$1,791.53 "
11/19/13,"$1,787.87 "
11/20/13,"$1,781.37 "
11/21/13,"$1,795.85 "
11/22/13,"$1,804.76 "
11/25/13,"$1,802.48 "
11/26/13,"$1,802.75 "
11/27/13,"$1,807.23 "
11/29/13,"$1,805.81 "
12/2/13,"$1,800.90 "
12/3/13,"$1,795.15 "
12/4/13,"$1,792.81 "
12/5/13,"$1,785.03 "
12/6/13,"$1,805.09 "
12/9/13,"$1,808.37 "
12/10/13,"$1,802.62 "
12/11/13,"$1,782.22 "
12/12/13,"$1,775.50 "
12/13/13,"$1,775.32 "
12/16/13,"$1,786.54 "
12/17/13,"$1,781.00 "
12/18/13,"$1,810.65 "
12/19/13,"$1,809.60 "
12/20/13,"$1,818.32 "
12/23/13,"$1,827.99 "
12/24/13,"$1,833.32 "
12/26/13,"$1,842.02 "
12/27/13,"$1,841.40 "
12/30/13,"$1,841.07 "
12/31/13,"$1,848.36 "
1/2/14,"$1,831.98 "
1/3/14,"$1,831.37 "
1/6/14,"$1,826.77 "
1/7/14,"$1,837.88 "
1/8/14,"$1,837.49 "
1/9/14,"$1,838.13 "
1/10/14,"$1,842.37 "
1/13/14,"$1,819.20 "
1/14/14,"$1,838.88 "
1/15/14,"$1,848.38 "
1/16/14,"$1,845.89 "
1/17/14,"$1,838.70 "
1/21/14,"$1,843.80 "
1/22/14,"$1,844.86 "
1/23/14,"$1,828.46 "
1/24/14,"$1,790.29 "
1/27/14,"$1,781.56 "
1/28/14,"$1,792.50 "
1/29/14,"$1,774.20 "
1/30/14,"$1,794.19 "
1/31/14,"$1,782.59 "
2/3/14,"$1,741.89 "
2/4/14,"$1,755.20 "
2/5/14,"$1,751.64 "
2/6/14,"$1,773.43 "
2/7/14,"$1,797.02 "
2/10/14,"$1,799.84 "
2/11/14,"$1,819.75 "
2/12/14,"$1,819.26 "
2/13/14,"$1,829.83 "
2/14/14,"$1,838.63 "
2/18/14,"$1,840.76 "
2/19/14,"$1,828.75 "
2/20/14,"$1,839.78 "
2/21/14,"$1,836.25 "
2/24/14,"$1,847.61 "
2/25/14,"$1,845.12 "
2/26/14,"$1,845.16 "
2/27/14,"$1,854.29 "
2/28/14,"$1,859.45 "
3/3/14,"$1,845.73 "
3/4/14,"$1,873.91 "
3/5/14,"$1,873.81 "
3/6/14,"$1,877.03 "
3/7/14,"$1,878.04 "
3/10/14,"$1,877.17 "
3/11/14,"$1,867.63 "
3/12/14,"$1,868.20 "
3/13/14,"$1,846.34 "
3/14/14,"$1,841.13 "
3/17/14,"$1,858.83 "
3/18/14,"$1,872.25 "
3/19/14,"$1,860.77 "
3/20/14,"$1,872.01 "
3/21/14,"$1,866.52 "
3/24/14,"$1,857.44 "
3/25/14,"$1,865.62 "
3/26/14,"$1,852.56 "
3/27/14,"$1,849.04 "
3/28/14,"$1,857.62 "
3/31/14,"$1,872.34 "
4/1/14,"$1,885.52 "
4/2/14,"$1,890.90 "
4/3/14,"$1,888.77 "
4/4/14,"$1,865.09 "
4/7/14,"$1,845.04 "
4/8/14,"$1,851.96 "
4/9/14,"$1,872.18 "
4/10/14,"$1,833.08 "
4/11/14,"$1,815.69 "
4/14/14,"$1,830.61 "
4/15/14,"$1,842.98 "
4/16/14,"$1,862.31 "
4/17/14,"$1,864.85 "
4/21/14,"$1,871.89 "
4/22/14,"$1,879.55 "
4/23/14,"$1,875.39 "
4/24/14,"$1,878.61 "
4/25/14,"$1,863.40 "
4/28/14,"$1,869.43 "
4/29/14,"$1,878.33 "
4/30/14,"$1,883.95 "
5/1/14,"$1,883.68 "
5/2/14,"$1,881.14 "
5/5/14,"$1,884.66 "
5/6/14,"$1,867.72 "
5/7/14,"$1,878.21 "
5/8/14,"$1,875.63 "
5/9/14,"$1,878.48 "
5/12/14,"$1,896.65 "
5/13/14,"$1,897.45 "
5/14/14,"$1,888.53 "
5/15/14,"$1,870.85 "
5/16/14,"$1,877.86 "
5/19/14,"$1,885.09 "
5/20/14,"$1,872.83 "
5/21/14,"$1,888.03 "
5/22/14,"$1,892.49 "
5/23/14,"$1,900.53 "
5/27/14,"$1,911.91 "
5/28/14,"$1,909.78 "
5/29/14,"$1,920.03 "
5/30/14,"$1,923.57 "
6/2/14,"$1,924.97 "
6/3/14,"$1,924.24 "
6/4/14,"$1,927.88 "
6/5/14,"$1,940.46 "
6/6/14,"$1,949.44 "
6/9/14,"$1,951.27 "
6/10/14,"$1,950.79 "
6/11/14,"$1,943.89 "
6/12/14,"$1,930.11 "
6/13/14,"$1,936.16 "
6/16/14,"$1,937.78 "
6/17/14,"$1,941.99 "
6/18/14,"$1,956.98 "
6/19/14,"$1,959.48 "
6/20/14,"$1,962.87 "
6/23/14,"$1,962.61 "
6/24/14,"$1,949.98 "
6/25/14,"$1,959.53 "
6/26/14,"$1,957.22 "
6/27/14,"$1,960.96 "
6/30/14,"$1,960.23 "
7/1/14,"$1,973.32 "
7/2/14,"$1,974.62 "
7/3/14,"$1,985.44 "
7/7/14,"$1,977.65 "
7/8/14,"$1,963.71 "
7/9/14,"$1,972.83 "
7/10/14,"$1,964.68 "
7/11/14,"$1,967.57 "
7/14/14,"$1,977.10 "
7/15/14,"$1,973.28 "
7/16/14,"$1,981.57 "
7/17/14,"$1,958.12 "
7/18/14,"$1,978.22 "
7/21/14,"$1,973.63 "
7/22/14,"$1,983.53 "
7/23/14,"$1,987.01 "
7/24/14,"$1,987.98 "
7/25/14,"$1,978.34 "
7/28/14,"$1,978.91 "
7/29/14,"$1,969.95 "
7/30/14,"$1,970.07 "
7/31/14,"$1,930.67 "
8/1/14,"$1,925.15 "
8/4/14,"$1,938.99 "
8/5/14,"$1,920.21 "
8/6/14,"$1,920.24 "
8/7/14,"$1,909.57 "
8/8/14,"$1,931.59 "
8/11/14,"$1,936.92 "
8/12/14,"$1,933.75 "
8/13/14,"$1,946.72 "
8/14/14,"$1,955.18 "
8/15/14,"$1,955.06 "
8/18/14,"$1,971.74 "
8/19/14,"$1,981.60 "
8/20/14,"$1,986.51 "
8/21/14,"$1,992.37 "
8/22/14,"$1,988.40 "
8/25/14,"$1,997.92 "
8/26/14,"$2,000.02 "
8/27/14,"$2,000.12 "
8/28/14,"$1,996.74 "
8/29/14,"$2,003.37 "
9/2/14,"$2,002.28 "
9/3/14,"$2,000.72 "
9/4/14,"$1,997.65 "
9/5/14,"$2,007.71 "
9/8/14,"$2,001.54 "
9/9/14,"$1,988.44 "
9/10/14,"$1,995.69 "
9/11/14,"$1,997.45 "
9/12/14,"$1,985.54 "
9/15/14,"$1,984.13 "
9/16/14,"$1,998.98 "
9/17/14,"$2,001.57 "
9/18/14,"$2,011.36 "
9/19/14,"$2,010.40 "
9/22/14,"$1,994.29 "
9/23/14,"$1,982.77 "
9/24/14,"$1,998.30 "
9/25/14,"$1,965.99 "
9/26/14,"$1,982.85 "
9/29/14,"$1,977.80 "
9/30/14,"$1,972.29 "
10/1/14,"$1,946.16 "
10/2/14,"$1,946.17 "
10/3/14,"$1,967.90 "
10/6/14,"$1,964.82 "
10/7/14,"$1,935.10 "
10/8/14,"$1,968.89 "
10/9/14,"$1,928.21 "
10/10/14,"$1,906.13 "
10/13/14,"$1,874.74 "
10/14/14,"$1,877.70 "
10/15/14,"$1,862.49 "
10/16/14,"$1,862.76 "
10/17/14,"$1,886.76 "
10/20/14,"$1,904.01 "
10/21/14,"$1,941.28 "
10/22/14,"$1,927.11 "
10/23/14,"$1,950.82 "
10/24/14,"$1,964.58 "
10/27/14,"$1,961.63 "
10/28/14,"$1,985.05 "
10/29/14,"$1,982.30 "
10/30/14,"$1,994.65 "
10/31/14,"$2,018.05 "
11/3/14,"$2,017.81 "
11/4/14,"$2,012.10 "
11/5/14,"$2,023.57 "
11/6/14,"$2,031.21 "
11/7/14,"$2,031.92 "
11/10/14,"$2,038.26 "
11/11/14,"$2,039.68 "
11/12/14,"$2,038.25 "
11/13/14,"$2,039.33 "
11/14/14,"$2,039.82 "
11/17/14,"$2,041.32 "
11/18/14,"$2,051.80 "
11/19/14,"$2,048.72 "
11/20/14,"$2,052.75 "
11/21/14,"$2,063.50 "
11/24/14,"$2,069.41 "
11/25/14,"$2,067.03 "
11/26/14,"$2,072.83 "
11/28/14,"$2,067.56 "
12/1/14,"$2,053.44 "
12/2/14,"$2,066.55 "
12/3/14,"$2,074.33 "
12/4/14,"$2,071.92 "
12/5/14,"$2,075.37 "
12/8/14,"$2,060.31 "
12/9/14,"$2,059.82 "
12/10/14,"$2,026.14 "
12/11/14,"$2,035.33 "
12/12/14,"$2,002.33 "
12/15/14,"$1,989.63 "
12/16/14,"$1,972.74 "
12/17/14,"$2,012.89 "
12/18/14,"$2,061.23 "
12/19/14,"$2,070.65 "
12/22/14,"$2,078.54 "
12/23/14,"$2,082.17 "
12/24/14,"$2,081.88 "
12/26/14,"$2,088.77 "
12/29/14,"$2,090.57 "
12/30/14,"$2,080.35 "
12/31/14,"$2,058.90 "
1/2/15,"$2,058.20 "
1/5/15,"$2,020.58 "
1/6/15,"$2,002.61 "
1/7/15,"$2,025.90 "
1/8/15,"$2,062.14 "
1/9/15,"$2,044.81 "
1/12/15,"$2,028.26 "
1/13/15,"$2,023.03 "
1/14/15,"$2,011.27 "
1/15/15,"$1,992.67 "
1/16/15,"$2,019.42 "
1/20/15,"$2,022.55 "
1/21/15,"$2,032.12 "
1/22/15,"$2,063.15 "
1/23/15,"$2,051.82 "
1/26/15,"$2,057.09 "
1/27/15,"$2,029.55 "
1/28/15,"$2,002.16 "
1/29/15,"$2,021.25 "
1/30/15,"$1,994.99 "
2/2/15,"$2,020.85 "
2/3/15,"$2,050.03 "
2/4/15,"$2,041.51 "
2/5/15,"$2,062.52 "
2/6/15,"$2,055.47 "
2/9/15,"$2,046.74 "
2/10/15,"$2,068.59 "
2/11/15,"$2,068.53 "
2/12/15,"$2,088.48 "
2/13/15,"$2,096.99 "
2/17/15,"$2,100.34 "
2/18/15,"$2,099.68 "
2/19/15,"$2,097.45 "
2/20/15,"$2,110.30 "
2/23/15,"$2,109.66 "
2/24/15,"$2,115.48 "
2/25/15,"$2,113.86 "
2/26/15,"$2,110.74 "
2/27/15,"$2,104.50 "
3/2/15,"$2,117.39 "
3/3/15,"$2,107.78 "
3/4/15,"$2,098.53 "
3/5/15,"$2,101.04 "
3/6/15,"$2,071.26 "
3/9/15,"$2,079.43 "
3/10/15,"$2,044.16 "
3/11/15,"$2,040.24 "
3/12/15,"$2,065.95 "
3/13/15,"$2,053.40 "
3/16/15,"$2,081.19 "
3/17/15,"$2,074.28 "
3/18/15,"$2,099.50 "
3/19/15,"$2,089.27 "
3/20/15,"$2,108.10 "
3/23/15,"$2,104.42 "
3/24/15,"$2,091.50 "
3/25/15,"$2,061.05 "
3/26/15,"$2,056.15 "
3/27/15,"$2,061.02 "
3/30/15,"$2,086.24 "
3/31/15,"$2,067.89 "
4/1/15,"$2,059.69 "
4/2/15,"$2,066.96 "
4/6/15,"$2,080.62 "
4/7/15,"$2,076.33 "
4/8/15,"$2,081.90 "
4/9/15,"$2,091.18 "
4/10/15,"$2,102.06 "
4/13/15,"$2,092.43 "
4/14/15,"$2,095.84 "
4/15/15,"$2,106.63 "
4/16/15,"$2,104.99 "
4/17/15,"$2,081.18 "
4/20/15,"$2,100.40 "
4/21/15,"$2,097.29 "
4/22/15,"$2,107.96 "
4/23/15,"$2,112.93 "
4/24/15,"$2,117.69 "
4/27/15,"$2,108.92 "
4/28/15,"$2,114.76 "
4/29/15,"$2,106.85 "
4/30/15,"$2,085.51 "
5/1/15,"$2,108.29 "
5/4/15,"$2,114.49 "
5/5/15,"$2,089.46 "
5/6/15,"$2,080.15 "
5/7/15,"$2,088.00 "
5/8/15,"$2,116.10 "
5/11/15,"$2,105.33 "
5/12/15,"$2,099.12 "
5/13/15,"$2,098.48 "
5/14/15,"$2,121.10 "
5/15/15,"$2,122.73 "
5/18/15,"$2,129.20 "
5/19/15,"$2,127.83 "
5/20/15,"$2,125.85 "
5/21/15,"$2,130.82 "
5/22/15,"$2,126.06 "
5/26/15,"$2,104.20 "
5/27/15,"$2,123.48 "
5/28/15,"$2,120.79 "
